Match_no,Match_id,Date,Venue,Innings,Batting_team,Bowling_team,Winner,Won_by,Overs,Striker,Striker_hand,Bowler,Bowler_style,Delivery,Pitching,Shot_direction,runs_of_bat,extras,wide,noballs,legbyes,byes,panja,isWicket,wicket_type
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,12.6,Angkrish Raghuvanshi,Right Handed Bat,Krunal Pandya,Left-arm orthodox,Full length,outside off stump,Deep Mid-Wicket,1,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,13.1,Angkrish Raghuvanshi,Right Handed Bat,Liam Livingstone,Right-arm legbreak,good length,on off stump,Point,1,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,13.2,Rinku Singh,Left Handed Bat,Liam Livingstone,Right-arm legbreak,Good length,outside off stump,Wide Long-On,1,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,13.3,Angkrish Raghuvanshi,Right Handed Bat,Liam Livingstone,Right-arm legbreak,Good length,on off stump,Deep Mid-Wicket,1,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,13.4,Rinku Singh,Left Handed Bat,Liam Livingstone,Right-arm legbreak,good length,outside off stump,Long-On,4,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,13.5,Rinku Singh,Left Handed Bat,Liam Livingstone,Right-arm legbreak,Full length,on off stump,Deep Mid-Wicket,2,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,13.6,Rinku Singh,Left Handed Bat,Liam Livingstone,Right-arm legbreak,Good length,on off stump,Deep Square Leg,1,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,14.1,Rinku Singh,Left Handed Bat,Krunal Pandya,Left-arm orthodox,Good length,on leg stump,Mid-Wicket,1,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,14.2,Angkrish Raghuvanshi,Right Handed Bat,Krunal Pandya,Left-arm orthodox,Good length,outside off stump,Deep Mid-Wicket,1,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,14.3,Rinku Singh,Left Handed Bat,Krunal Pandya,Left-arm orthodox,Good length,outside leg stump,,0,0,0,0,0,0,0,0,
